instances,tx_hash,avg_latency_ms,num_validators
1,7f33e21123484a13863c741aeaa3ce09c8dee6cc07fb79a70c9c44bb8a21d05a,830.500000,10
1,98f770d95ac931914445b0b295350d0799629e56a9a1dece7721047c5600d70c,734.600000,10
1,7984cb6ecba4656554ece27e2693662be9d27d13265400d40c649c8c6e05e8ef,1375.300000,10
1,9836a42d990cd1e30356e0f47626f60dc500d8e5d24d1d77764c09e9d1720a76,733.300000,10
1,ce141f3af6abe32effff5902ac6ec39fc87e318535292946355cb62ad54f26ae,544.300000,10
1,b43d8cfd00629d65aae6c7e1590ea334700bf30b38625826ca75cdea82cb7bd8,361.300000,10
1,50a8a96efb7024cd12b49908ca7863302c72bc5c80c755f83599c5955333319a,2960.900000,10
1,c44d063f362d5ff9ec07fd6d7f2732a734a895ca76689583dcdde74151854ee0,2262.900000,10
1,b2b5ba9e9c80fe0dc1a44ad99243d00ff9c0d994c883515707ad5ef54d917419,1924.900000,10
1,04e06a3bd057e0545eae61d2c3fba7d114f8f09e2cb67723e54993762bf4482c,1217.900000,10
1,55459f5cfaf284fe401399d79b3b409f84f53daa2e7d659d8e68220f9ecfd068,424.900000,10
1,d469e6554c06bdfb75db770e3ad3073c60a7f8cc60b6171eb16b0cecbb2fcabc,357.900000,10
1,8916c849aa3b9085bc7d9909effeeba15683c735e474b8fc8063b857130a70bf,2488.900000,10
1,6d6191dd6dc314f57d779df8cc85c706755e3abe174ce2eaaca0d1fd322a79c6,2210.900000,10
1,aa5a8a1bdde23daded37196617b31d5605324d46fe3851825f2c8addc498bd50,1692.900000,10
1,c4d5f2622ffcbb1c4c0fbb785eac7f9a03c3397416e006c1209c5d1aa0ed00f2,1524.900000,10
1,2c4e768edfd59c46817a5caa9a165dc9a9875ac9e816731d402276819c7dccfa,997.900000,10
1,441ce16f5b679df4619784c40d441af7626141b14d91c4d88d2a637f2d292143,465.900000,10
1,94acdbafaa9236efeabc2196f3c986ce6687a30c4495d562cddb6a7a431d5c14,2387.900000,10
1,4c46c8cdbd4d5bafb9cfa5716e6e5e763acf0b134b5550270f8c1c6a8f5060b1,1370.900000,10
1,b803b6d7062677032781fea95922e4ca6a24a78bfc4d768556824e306220c4ac,1411.900000,10
1,701db1f1e635b518f7795482442c04b0f27e05e4e3d8220526fa91544a4ae31e,1443.900000,10
1,519a1b8a1674d119ac1e12746d740470f53210f5a5457867752b281737c54df3,1248.000000,10
1,9f4129581cef0cd49295f2ba9e3394225b814edc1fd1edf022767f73238ac1b8,1063.000000,10
1,8784c3c3783d979d6db859cf873ef1ddaadbc578b8e20128830716c0c33e5304,1030.000000,10
1,436a642ec90ae63c40a16b8367c58016914c34563ff36a85911c2dfba11f87cd,2647.600000,10
